mean_idle_time,mean_idle_time-Secretary,mean_idle_time-Nurse,mean_idle_time-Doctor,mean_waiting_time,mean_waiting_time-1,mean_waiting_time-2,mean_waiting_time-3,mean_waiting_time-4,mean_waiting_time-5,mean_waiting_time-Registration,mean_waiting_time-Screening,mean_waiting_time-Medical_Care,mean_waiting_time-Exam_Medicine,mean_size_queue,mean_size_queue-Registration,mean_size_queue-Screening,mean_size_queue-Medical_Care,mean_size_queue-Exam_Medicine
0.30,0.49,0.00,0.41,1593.00,441.77,1754.96,1663.82,1696.02,1801.55,3.11,586.23,307.25,1145.73,37.81,0.30,100.26,22.80,27.87
0.30,0.49,0.00,0.40,1572.80,450.54,1745.58,1915.77,1582.79,1512.06,2.88,579.70,244.49,1089.30,38.14,0.28,100.18,23.43,28.68
0.26,0.45,0.00,0.33,1822.47,678.92,2365.57,2011.57,1969.13,1422.68,4.36,1047.18,249.28,1024.25,47.13,0.45,107.25,44.08,36.75
0.25,0.47,0.00,0.27,1495.88,689.73,1807.65,1385.68,1739.55,1415.91,3.20,789.74,463.85,597.57,36.71,0.31,71.08,39.48,35.95
0.26,0.46,0.01,0.30,1512.63,559.49,1889.69,1693.71,1458.25,1384.53,4.43,889.21,251.42,815.22,37.93,0.45,76.78,41.24,33.24
0.32,0.47,0.00,0.49,1664.35,336.66,1783.13,1804.27,1887.69,1756.76,2.91,516.35,296.15,1445.03,41.49,0.29,106.06,18.54,41.07
0.31,0.46,0.00,0.46,1881.46,343.75,2098.54,1917.12,2022.58,2107.33,3.43,544.25,295.36,1426.55,47.86,0.35,135.89,20.35,34.86
0.31,0.45,0.00,0.46,2089.90,421.55,2230.84,2371.90,2102.92,2272.62,3.00,610.64,304.38,1603.73,52.93,0.30,150.63,22.63,38.18
0.29,0.45,0.00,0.42,1690.18,699.96,1864.99,1787.00,1827.41,1748.51,3.43,615.21,447.15,1171.28,43.19,0.35,101.84,30.43,40.12
0.29,0.42,0.00,0.44,2081.43,595.67,2293.70,2246.66,2181.37,2194.88,4.01,570.02,455.92,1631.63,55.95,0.43,152.96,31.15,39.26
0.32,0.51,0.01,0.45,1786.79,498.27,2004.48,1780.51,1984.19,1969.14,2.50,836.64,386.34,1305.73,41.77,0.23,101.76,24.68,40.41
0.30,0.48,0.00,0.42,1769.90,530.20,1970.44,1796.17,1850.43,1969.85,3.27,673.47,275.72,1283.06,43.15,0.32,114.61,25.19,32.48
0.26,0.46,0.01,0.32,1785.47,639.00,2110.87,1923.38,1779.29,1719.07,3.23,1032.07,271.22,926.09,45.33,0.33,93.88,50.75,36.36
0.28,0.49,0.00,0.33,1668.48,917.19,1910.05,1653.62,1730.04,1687.11,3.19,897.19,487.52,768.69,39.97,0.31,77.65,38.02,43.90
0.25,0.46,0.00,0.30,1445.20,748.79,1769.39,1456.82,1624.69,1246.05,3.15,783.18,382.51,550.86,36.57,0.32,67.30,41.16,37.49
0.27,0.48,0.01,0.31,1726.12,982.29,1865.97,1828.40,1713.02,1772.93,3.01,876.48,515.48,583.50,42.68,0.30,80.87,41.42,48.12
0.30,0.49,0.00,0.40,1421.47,487.39,1641.30,1469.98,1446.12,1485.07,3.14,517.12,234.15,1015.27,34.51,0.31,91.88,20.52,25.33
0.28,0.44,0.01,0.39,1516.87,626.82,1739.06,1552.85,1561.98,1563.01,3.93,613.97,365.02,997.39,39.56,0.41,87.65,27.34,42.82
0.29,0.45,0.00,0.40,1879.66,561.92,2163.27,2061.88,1785.51,1966.15,3.19,762.04,235.10,1189.65,48.48,0.33,131.30,29.89,32.39
0.33,0.51,0.02,0.47,1286.92,323.67,1460.16,1371.93,1311.52,1415.74,3.08,537.11,241.48,975.01,29.01,0.28,75.21,15.07,25.49
0.30,0.50,0.01,0.39,1364.49,286.75,1588.27,1423.83,1647.98,1372.89,2.83,582.70,172.95,814.59,32.15,0.27,86.07,19.62,22.63
0.30,0.48,0.00,0.41,1598.85,647.64,1777.88,1670.80,1787.55,1608.44,3.12,734.05,417.41,865.66,38.80,0.30,85.84,29.69,39.36
0.25,0.46,0.00,0.30,1692.64,943.75,2065.41,1695.71,1514.40,1808.46,3.41,984.70,444.93,663.11,43.28,0.35,84.83,49.26,38.69
0.29,0.49,0.00,0.39,1691.20,527.74,1914.65,1791.64,1862.09,1625.77,3.11,678.51,280.66,1181.09,40.84,0.30,103.89,28.68,30.49
0.27,0.46,0.01,0.34,1678.04,766.82,1962.75,1631.91,1738.80,1770.38,3.34,780.63,501.78,698.73,42.26,0.34,83.49,39.03,46.19
0.28,0.47,0.00,0.36,1576.84,628.38,1963.62,1623.59,1441.26,1633.44,4.03,862.21,433.85,715.41,38.76,0.40,85.50,32.67,36.48
0.27,0.45,0.00,0.36,1880.21,535.12,2321.30,2005.53,1895.14,1802.96,3.66,944.70,271.52,1177.38,48.99,0.38,120.16,39.95,35.46
0.25,0.44,0.00,0.32,1808.09,834.84,2219.46,1823.45,1910.44,1619.01,4.78,830.36,543.28,610.00,46.98,0.50,85.17,44.41,57.84
0.28,0.45,0.00,0.37,1834.07,470.86,2169.41,2033.80,1771.87,1792.51,2.85,732.21,242.62,1185.10,47.79,0.30,126.30,30.78,33.80
0.26,0.44,0.00,0.32,1771.05,566.86,2254.70,1833.47,1792.22,1645.73,3.87,970.81,254.75,1048.47,45.64,0.40,105.02,43.08,34.06
0.28,0.46,0.00,0.36,1722.89,467.92,2040.17,1979.57,1395.60,1917.63,3.34,864.53,245.52,1091.80,42.38,0.33,103.52,34.35,31.32
